Region,HOUSEHOLDSTotalHouseholds,HOUSEHOLDSAveragehouseholdsize,FAMILIESTotalfamilies,FAMILIESAveragefamilysize,MarriedTotalhouseholds,MarriedAveragehouseholdsize,MarriedTotalfamilies,MarriedAveragefamilysize,MaleTotalhouseholds,MaleAveragehouseholdsize,MaleTotalfamilies,MaleAveragefamilysize,FemaleTotalhouseholds,FemaleAveragehouseholdsize,FemaleTotalfamilies,FemaleAveragefamilysize,NonfamilyTotalhouseholds,NonfamilyAveragehouseholdsize,NonfamilyTotalfamilies,NonfamilyAveragefamilysize,TotalOwned,MarriedOwned,MaleOwned,FemaleOwned,NonfamilyOwned
Alabama,1888504,2.53,1234552,3.16,893948,3.14,893948,3.12,78016,3.42,78016,3.06,262588,3.5,262588,3.34,653952,1.2,(X),(X),69%,85%,62%,50%,56%
Alaska,255173,2.78,167815,3.38,127312,3.47,127312,3.41,14293,3.65,14293,3.17,26210,3.69,26210,3.36,87358,1.36,(X),(X),65%,77%,57%,52%,52%
Arizona,2643430,2.65,1720736,3.26,1256731,3.26,1256731,3.22,144505,3.6,144505,3.14,319500,3.71,319500,3.44,922694,1.32,(X),(X),65%,80%,55%,48%,53%
Arkansas,1170544,2.5,770111,3.08,564299,3.12,564299,3.09,52540,3.19,52540,2.83,153272,3.34,153272,3.14,400433,1.23,(X),(X),66%,82%,56%,45%,53%
California,13103114,2.94,8986666,3.52,6510580,3.61,6510580,3.56,782812,3.72,782812,3.27,1693274,3.76,1693274,3.47,4116448,1.39,(X),(X),55%,68%,46%,42%,42%
Colorado,2137402,2.6,1358903,3.19,1069666,3.22,1069666,3.18,95610,3.48,95610,3.06,193627,3.58,193627,3.32,778499,1.41,(X),(X),66%,81%,56%,52%,50%
Connecticut,1385437,2.5,902996,3.08,664429,3.15,664429,3.13,65241,3.11,65241,2.76,173326,3.24,173326,3.04,482441,1.24,(X),(X),66%,84%,56%,47%,50%
Delaware,370953,2.54,243012,3.11,178030,3.1,178030,3.07,17737,3.44,17737,3,47245,3.53,47245,3.3,127941,1.28,(X),(X),71%,86%,65%,55%,58%
District of Columbia,288307,2.3,123496,3.36,75305,3.14,75305,3.06,9808,3.7,9808,3.33,38383,4.12,38383,3.95,164811,1.41,(X),(X),43%,67%,44%,34%,34%
Florida,7931313,2.62,5118059,3.23,3721358,3.19,3721358,3.16,392029,3.67,392029,3.22,1004672,3.77,1004672,3.51,2813254,1.31,(X),(X),66%,79%,54%,50%,57%
Georgia,3830264,2.68,2565233,3.28,1813793,3.3,1813793,3.27,179970,3.52,179970,3.11,571470,3.56,571470,3.38,1265031,1.27,(X),(X),64%,81%,54%,45%,50%
Hawaii,467932,2.94,324482,3.5,239548,3.61,239548,3.52,27029,3.82,27029,3.4,57905,3.79,57905,3.48,143450,1.31,(X),(X),60%,69%,56%,53%,50%
Idaho,649299,2.66,441391,3.2,356168,3.26,356168,3.23,28881,3.4,28881,2.96,56342,3.45,56342,3.19,207908,1.31,(X),(X),71%,83%,61%,54%,56%
Illinois,4884061,2.54,3116415,3.2,2301114,3.25,2301114,3.23,224181,3.34,224181,2.95,591120,3.39,591120,3.19,1767646,1.24,(X),(X),66%,84%,58%,49%,51%
