Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
Alabama,4893186,293932,294776,315204,321308,323960,334650,307217,301404,293852,308836,316996,331903,321714,273648,217393,145827,101941,88625,3800274,39.2,93.6,64.6,27.8,36.8,2365734,149579,150937,160287,162291,163665,167179,149890,144863,142671,149680,153533,158953,151998,127425,98717,63852,41156,29058,1808099,37.7,,,,,,6.3,6.4,6.8,6.9,6.9,7.1,6.3,6.1,6,6.3,6.5,6.7,6.4,5.4,4.2,2.7,1.7,1.2,76.4,,,,,,2527452,144353,143839,154917,159017,160295,167471,157327,156541,151181,159156,163463,172950,169716,146223,118676,81975,60785,59567,1992175,40.6,,,,,,5.7,5.7,6.1,6.3,6.3,6.6,6.2,6.2,6,6.3,6.5,6.8,6.7,5.8,4.7,3.2,2.4,2.4,78.8,,,,,
Alaska,736990,52302,52825,49395,46257,52775,61328,57278,51647,42647,43836,45215,49124,44732,35771,23573,12932,8472,6881,553631,34.6,109.2,58.2,18.8,39.3,384653,26684,26976,25643,24513,30455,32803,29948,26780,21996,23118,23790,25402,23092,18958,11671,6120,3957,2747,290360,34.1,,,,,,6.9,7,6.7,6.4,7.9,8.5,7.8,7,5.7,6,6.2,6.6,6,4.9,3,1.6,1,0.7,75.5,,,,,,352337,25618,25849,23752,21744,22320,28525,27330,24867,20651,20718,21425,23722,21640,16813,11902,6812,4515,4134,263271,35.2,,,,,,7.3,7.3,6.7,6.2,6.3,8.1,7.8,7.1,5.9,5.9,6.1,6.7,6.1,4.8,3.4,1.9,1.3,1.2,74.7,,,,,
Arizona,7174064,431224,444859,482609,478165,491151,513314,473473,452699,429416,429475,421470,436015,427990,399549,330049,240633,151588,140385,5534419,37.9,98.8,67.9,29.5,38.4,3564979,220346,225723,246866,243721,255949,266718,244743,228667,217678,213739,207757,209429,202288,184892,155977,112626,71372,56488,2728556,36.7,,,,,,6.2,6.3,6.9,6.8,7.2,7.5,6.9,6.4,6.1,6,5.8,5.9,5.7,5.2,4.4,3.2,2,1.6,76.5,,,,,,3609085,210878,219136,235743,234444,235202,246596,228730,224032,211738,215736,213713,226586,225702,214657,174072,128007,80216,83897,2805863,39.3,,,,,,5.8,6.1,6.5,6.5,6.5,6.8,6.3,6.2,5.9,6,5.9,6.3,6.3,5.9,4.8,3.5,2.2,2.3,77.7,,,,,
Arkansas,3011873,188445,194331,200291,200952,201132,203558,191234,189573,181798,182188,184295,195694,188265,167043,129863,94430,59158,59623,2309041,38.3,96.4,67.4,28.4,39.1,1478511,96802,98969,103012,102200,103540,102338,95817,94009,90127,89617,90606,95723,89196,78684,59448,42409,25072,20942,1118805,36.9,,,,,,6.5,6.7,7,6.9,7,6.9,6.5,6.4,6.1,6.1,6.1,6.5,6,5.3,4,2.9,1.7,1.4,75.7,,,,,,1533362,91643,95362,97279,98752,97592,101220,95417,95564,91671,92571,93689,99971,99069,88359,70415,52021,34086,38681,1190236,39.7,,,,,,6,6.2,6.3,6.4,6.4,6.6,6.2,6.2,6,6,6.1,6.5,6.5,5.8,4.6,3.4,2.2,2.5,77.6,,,,,
California,39346023,2409082,2431647,2597443,2548072,2694636,3084036,2923877,2710180,2523723,2537197,2501958,2485487,2254188,1865387,1404993,951622,657751,764744,30389382,36.7,98.9,59,22.8,36.2,19562882,1233088,1242495,1328272,1300581,1388360,1594429,1505530,1377089,1265725,1264479,1245267,1216743,1089379,878068,643905,427222,278926,283324,14984186,35.6,,,,,,6.3,6.4,6.8,6.6,7.1,8.2,7.7,7,6.5,6.5,6.4,6.2,5.6,4.5,3.3,2.2,1.4,1.4,76.6,,,,,,19783141,1175994,1189152,1269171,1247491,1306276,1489607,1418347,1333091,1257998,1272718,1256691,1268744,1164809,987319,761088,524400,378825,481420,15405196,37.9,,,,,,5.9,6,6.4,6.3,6.6,7.5,7.2,6.7,6.4,6.4,6.4,6.4,5.9,5,3.8,2.7,1.9,2.4,77.9,,,,,
Colorado,5684926,330939,348555,364153,362041,378484,449799,442474,410075,372950,363217,346765,370274,336863,289442,211526,131069,82872,93428,4425895,36.9,101.4,57.1,22.3,34.8,2862153,168650,177258,187579,187068,197825,235076,231592,211213,191858,185226,173459,182552,162930,138142,100887,61043,35581,34214,2218147,36,,,,,,5.9,6.2,6.6,6.5,6.9,8.2,8.1,7.4,6.7,6.5,6.1,6.4,5.7,4.8,3.5,2.1,1.2,1.2,77.5,,,,,,2822773,162289,171297,176574,174973,180659,214723,210882,198862,181092,177991,173306,187722,173933,151300,110639,70026,47291,59214,2207748,37.9,,,,,,5.7,6.1,6.3,6.2,6.4,7.6,7.5,7,6.4,6.3,6.1,6.7,6.2,5.4,3.9,2.5,1.7,2.1,78.2,,,,,
Connecticut,3570549,182708,192321,221648,241286,243381,222305,221612,213964,212133,233980,259206,267164,243375,193132,152275,103353,72556,94150,2834965,41.1,95.2,60.9,27.7,33.1,1741688,93725,97435,113376,123304,125316,114689,110988,104519,104625,113333,125579,129101,117487,90446,70100,45954,29534,32177,1365953,39.4,,,,,,5.4,5.6,6.5,7.1,7.2,6.6,6.4,6,6,6.5,7.2,7.4,6.7,5.2,4,2.6,1.7,1.8,78.4,,,,,,1828861,88983,94886,108272,117982,118065,107616,110624,109445,107508,120647,133627,138063,125888,102686,82175,57399,43022,61973,1469012,42.7,,,,,,4.9,5.2,5.9,6.5,6.5,5.9,6,6,5.9,6.6,7.3,7.5,6.9,5.6,4.5,3.1,2.4,3.4,80.3,,,,,
Delaware,967679,54774,55329,59081,60143,58482,66200,62526,56984,54989,57853,64029,68761,66504,61528,47443,33937,20273,18843,763472,41,93.6,66.4,31.3,35.1,467720,27809,27824,30047,30165,29779,33274,31190,28422,26226,27848,30577,33766,29592,27772,22363,15059,8782,7225,364320,39.1,,,,,,5.9,5.9,6.4,6.4,6.4,7.1,6.7,6.1,5.6,6,6.5,7.2,6.3,5.9,4.8,3.2,1.9,1.5,77.9,,,,,,499959,26965,27505,29034,29978,28703,32926,31336,28562,28763,30005,33452,34995,36912,33756,25080,18878,11491,11618,399152,42.9,,,,,,5.4,5.5,5.8,6,5.7,6.6,6.3,5.7,5.8,6,6.7,7,7.4,6.8,5,3.8,2.3,2.3,79.8,,,,,
District of Columbia,701974,44913,35069,30443,36863,52700,83125,80773,61879,44118,38775,37072,36289,34043,28175,21256,15324,9887,11270,575926,34.1,90.3,43.3,17.5,25.7,333137,22906,18008,14986,17013,24227,38336,38702,30589,21555,19464,18632,18823,14685,12318,9092,6202,3779,3820,269436,34,,,,,,6.9,5.4,4.5,5.1,7.3,11.5,11.6,9.2,6.5,5.8,5.6,5.7,4.4,3.7,2.7,1.9,1.1,1.1,80.9,,,,,,368837,22007,17061,15457,19850,28473,44789,42071,31290,22563,19311,18440,17466,19358,15857,12164,9122,6108,7450,306490,34.2,,,,,,6,4.6,4.2,5.4,7.7,12.1,11.4,8.5,6.1,5.2,5,4.7,5.2,4.3,3.3,2.5,1.7,2,83.1,,,,,
Florida,21216924,1133390,1133024,1221553,1209024,1264607,1410790,1355701,1303984,1263774,1336668,1397101,1467493,1371903,1296374,1097330,826093,549971,578144,17002480,42.2,95.7,67.7,34.4,33.3,10374594,578848,577895,624383,619298,646059,718705,685800,648717,626767,658293,683667,698670,646175,599193,506423,385828,243114,226759,8222799,40.6,,,,,,5.6,5.6,6,6,6.2,6.9,6.6,6.3,6,6.3,6.6,6.7,6.2,5.8,4.9,3.7,2.3,2.2,79.3,,,,,,10842330,554542,555129,597170,589726,618548,692085,669901,655267,637007,678375,713434,768823,725728,697181,590907,440265,306857,351385,8779681,43.8,,,,,,5.1,5.1,5.5,5.4,5.7,6.4,6.2,6,5.9,6.3,6.6,7.1,6.7,6.4,5.5,4.1,2.8,3.2,81,,,,,
