Region,Total Less than 9th grade,"Total 9th to 12th grade, no diploma",Total High school graduate (includes equivalency),"Total Some college, no degree",Total Associate's degree,Total Bachelor's degree,Male Less than 9th grade,"Male 9th to 12th grade, no diploma",Male High school graduate (includes equivalency),"Male Some college, no degree",Male Associate's degree,Male Bachelor's degree,Female Less than 9th grade,"Female 9th to 12th grade, no diploma",Female High school graduate (includes equivalency),"Female Some college, no degree",Female Associate's degree,Female Bachelor's degree,Percent Less than 9th grade,"Percent 9th to 12th grade, no diploma",Percent High school graduate (includes equivalency),"Percent Some college, no degree",Percent Associate's degree,Percent Bachelor's degree
Alabama,133650,305297,1014342,721609,292064,546674,70512,157429,499138,333954,116611,253303,63138,147868,515204,387655,175453,293371,4,9.1,30.3,21.6,8.7,16.3
Alaska,11513,21663,137486,125645,42162,90161,5646,12313,78947,66565,20857,40942,5867,9350,58539,59080,21305,49219,2.4,4.5,28.4,26,8.7,18.7
Arizona,248570,339349,1151988,1208298,429153,911228,126199,176328,575381,576889,199953,441178,122371,163021,576607,631409,229200,470050,5.1,7,23.8,24.9,8.9,18.8
Arkansas,95403,164957,686812,445268,151587,308648,51068,85319,353092,207010,57195,142105,44335,79638,333720,238258,94392,166543,4.7,8.1,33.9,22,7.5,15.2
California,2367996,1918542,5431385,5566520,2123827,5764827,1125567,1010266,2765552,2724553,949935,2764363,1242429,908276,2665833,2841967,1173892,3000464,8.9,7.2,20.4,20.9,8,21.6
Colorado,128623,180162,827081,809908,332127,1015989,65784,95483,435348,403659,151346,495933,62839,84679,391733,406249,180781,520056,3.3,4.6,21.2,20.8,8.5,26
Connecticut,99436,126114,655381,419238,193036,551459,49221,66734,328904,199612,77725,261124,50215,59380,326477,219626,115311,290335,4,5.1,26.3,16.8,7.8,22.2
Delaware,22233,41610,210998,128397,54589,129092,11498,23415,104525,59459,21121,59723,10735,18195,106473,68938,33468,69369,3.3,6.1,31,18.9,8,19
District of Columbia,16741,24070,83347,63270,14583,126808,8360,12027,40204,28055,5703,59914,8381,12043,43143,35215,8880,66894,3.3,4.8,16.6,12.6,2.9,25.3
Florida,701815,1049983,4308542,3013331,1521709,2938593,347828,552775,2111668,1432607,651616,1388109,353987,497208,2196874,1580724,870093,1550484,4.6,6.9,28.2,19.8,10,19.3
Georgia,311893,536760,1925374,1410017,559719,1377311,164373,283949,963114,649281,228379,644377,147520,252811,962260,760736,331340,732934,4.5,7.7,27.5,20.2,8,19.7
Hawaii,34509,40366,272031,206808,108220,218679,13830,20892,141776,104329,52479,102092,20679,19474,130255,102479,55741,116587,3.5,4.1,27.3,20.8,10.9,21.9
Idaho,35736,64453,305717,298415,112676,221092,18879,35237,157384,140397,51912,103612,16857,29216,148333,158018,60764,117480,3.1,5.6,26.7,26.1,9.8,19.3
Illinois,401341,496997,2220409,1775548,707131,1875011,197335,265503,1114407,851129,310664,895556,204006,231494,1106002,924419,396467,979455,4.6,5.7,25.6,20.4,8.1,21.6
Indiana,159253,317172,1482396,898491,396074,770901,83035,162735,748796,425323,166998,365106,76218,154437,733600,473168,229076,405795,3.6,7.1,33.2,20.1,8.9,17.3
Iowa,61329,97072,647371,433481,248496,415048,32173,52719,338216,209711,108847,192125,29156,44353,309155,223770,139649,222923,2.9,4.6,30.8,20.6,11.8,19.7
Kansas,66244,99129,494226,435361,168417,410344,34352,53991,254740,210588,73907,195031,31892,45138,239486,224773,94510,215313,3.5,5.2,25.8,22.8,8.8,21.5
Kentucky,151985,237657,990196,635328,259993,447884,80017,125611,508889,298246,101782,217129,71968,112046,481307,337082,158211,230755,5,7.8,32.6,20.9,8.6,14.8
Louisiana,147491,296685,1044356,665481,204960,499998,80985,159169,526718,311665,84749,219405,66506,137516,517638,353816,120211,280593,4.7,9.5,33.3,21.2,6.5,15.9
Maine,22218,44307,307457,188826,100402,199746,12456,24931,159294,90974,44725,88526,9762,19376,148163,97852,55677,111220,2.3,4.5,31.3,19.2,10.2,20.3
Maryland,161130,231898,1006008,779586,282898,907523,83714,121039,502982,360661,114657,423294,77416,110859,503026,418925,168241,484229,3.9,5.6,24.2,18.7,6.8,21.8
Massachusetts,202050,227744,1133358,738260,369777,1181453,95625,118663,579178,347706,148567,560775,106425,109081,554180,390554,221210,620678,4.2,4.7,23.5,15.3,7.7,24.5
