Region,Country code,Parent code,2015,2016,2017,2018,2019,2020
Africa,903,1840,1182439 ,1213041 ,1244222 ,1275921 ,1308064 ,1340598 
Asia,935,1840,4433475 ,4476608 ,4519040 ,4560667 ,4601371 ,4641055 
Europe,908,1840,743059 ,744269 ,745415 ,746419 ,747183 ,747636 
Latin America and the Caribbean,904,1840,623934 ,630145 ,636233 ,642217 ,648121 ,653962 
Northern America,905,1840,357031 ,359525 ,361942 ,364296 ,366601 ,368870 
Oceania,909,1840,39859 ,40436 ,41006 ,41571 ,42128 ,42678 
Burundi,108,910,10160 ,10488 ,10827 ,11175 ,11531 ,11891 
Comoros,174,910,777 ,796 ,814 ,832 ,851 ,870 
Djibouti,262,910,914 ,929 ,944 ,959 ,974 ,988 
Eritrea,232,910,3343 ,3377 ,3413 ,3453 ,3497 ,3546 
Ethiopia,231,910,100835 ,103603 ,106400 ,109224 ,112079 ,114964 
Kenya,404,910,47878 ,49052 ,50221 ,51393 ,52574 ,53771 
Madagascar,450,910,24234 ,24894 ,25571 ,26262 ,26969 ,27691 
Malawi,454,910,16745 ,17205 ,17670 ,18143 ,18629 ,19130 
Mauritius,480,910,1259 ,1262 ,1264 ,1267 ,1270 ,1272 
Mayotte,175,910,240 ,246 ,253 ,260 ,266 ,273 
Mozambique,508,910,27042 ,27830 ,28649 ,29496 ,30366 ,31255 
Réunion,638,910,863 ,870 ,876 ,883 ,889 ,895 
Rwanda,646,910,11369 ,11669 ,11981 ,12302 ,12627 ,12952 
Seychelles,690,910,95 ,96 ,96 ,97 ,98 ,98 
Somalia,706,910,13797 ,14186 ,14589 ,15008 ,15443 ,15893 
South Sudan,728,910,10716 ,10833 ,10911 ,10976 ,11062 ,11194 
Uganda,800,910,38225 ,39649 ,41167 ,42729 ,44270 ,45741 
United Republic of Tanzania,834,910,51483 ,53049 ,54660 ,56313 ,58005 ,59734 
Zambia,894,910,15879 ,16363 ,16854 ,17352 ,17861 ,18384 
Zimbabwe,716,910,13815 ,14030 ,14237 ,14439 ,14645 ,14863 
Angola,24,911,27884 ,28842 ,29817 ,30810 ,31825 ,32866 
Cameroon,120,911,23298 ,23927 ,24566 ,25216 ,25876 ,26546 
Central African Republic,140,911,4493 ,4538 ,4596 ,4666 ,4745 ,4830 
Chad,148,911,14111 ,14562 ,15017 ,15478 ,15947 ,16426 
Congo,178,911,4856 ,4981 ,5111 ,5244 ,5381 ,5518 
Democratic Republic of the Congo,180,911,76245 ,78789 ,81399 ,84068 ,86791 ,89561 
Equatorial Guinea,226,911,1169 ,1215 ,1262 ,1309 ,1356 ,1403 
Gabon,266,911,1948 ,2008 ,2065 ,2119 ,2173 ,2226 
Sao Tome and Principe,678,911,199 ,203 ,207 ,211 ,215 ,219 
