Industry,"Full-time, year-round civilian employed population 16 years and over","Agriculture, forestry, fishing and hunting, and mining:","Agriculture, forestry, fishing and hunting","Mining, quarrying, and oil and gas extraction",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities:",Transportation and warehousing,Utilities,Information,"Finance and insurance, and real estate and rental and leasing:",Finance and insurance,Real estate and rental and leasing,"Professional, scientific, and management, and administrative and waste management services:","Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management services,"Educational services, and health care and social assistance:",Educational services,Health care and social assistance,"Arts, entertainment, and recreation, and accommodation and food services:","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except public administration",Public administration
Alabama,"1,596,404","20,682","13,189","7,493","113,392","279,281","50,613","146,008","95,213","68,551","26,662","23,426","100,030","75,958","24,072","156,111","95,287",924,"59,900","350,672","140,021","210,651","89,236","14,321","74,915","63,993","107,747"
Alaska,"225,349","11,067","2,550","8,517","15,091","8,969","5,094","21,631","24,127","19,411","4,716","4,601","11,770","7,301","4,469","21,493","13,737",413,"7,343","52,976","16,577","36,399","12,062","2,887","9,175","10,715","25,753"
Arizona,"2,361,468","34,946","19,395","15,551","208,521","201,361","61,800","250,223","141,420","113,523","27,897","39,475","241,799","185,079","56,720","299,628","167,955","5,415","126,258","489,792","177,085","312,707","162,652","38,678","123,974","92,313","137,538"
Arkansas,"982,699","27,552","23,648","3,904","72,115","161,499","26,149","118,485","64,937","52,022","12,915","12,511","49,483","36,342","13,141","74,722","38,754","1,853","34,115","230,080","83,246","146,834","52,633","10,494","42,139","38,481","54,052"
California,"13,387,131","255,157","237,147","18,010","995,137","1,430,385","429,655","1,197,254","834,722","715,167","119,555","408,213","896,057","594,753","301,304","2,033,476","1,374,186","23,247","636,043","2,586,535","919,428","1,667,107","1,012,662","277,379","735,283","580,822","727,056"
Colorado,"2,136,821","57,738","30,038","27,700","185,324","177,150","62,478","183,961","111,987","89,284","22,703","67,551","167,609","121,876","45,733","334,456","242,403","3,659","88,394","430,000","173,694","256,306","145,153","40,671","104,482","96,601","116,813"
Connecticut,"1,240,630","5,735","4,202","1,533","88,885","159,421","35,509","101,930","57,214","47,599","9,615","24,310","134,358","111,809","22,549","150,515","106,357","2,375","41,783","307,605","120,811","186,794","73,757","27,871","45,886","46,896","54,495"
Delaware,"330,968","4,851","4,613",238,"26,576","29,486","7,830","30,700","18,991","15,013","3,978","5,076","37,930","30,632","7,298","38,097","22,710",142,"15,245","79,110","27,664","51,446","17,937","4,625","13,312","11,723","22,661"
District of Columbia,"300,914",589,589,0,"8,410","3,956","1,303","9,240","7,753","7,322",431,"12,787","19,888","13,422","6,466","79,542","70,437",430,"8,675","53,232","23,974","29,258","20,913","6,910","14,003","27,672","55,629"
Florida,"7,238,210","60,202","53,879","6,323","654,189","419,339","217,126","779,011","466,577","401,429","65,148","125,879","621,058","421,051","200,007","982,737","560,721","9,204","412,812","1,532,651","515,658","1,016,993","695,613","184,461","511,152","323,350","360,478"
Georgia,"3,750,726","40,015","33,401","6,614","275,653","469,828","122,212","349,526","290,119","248,824","41,295","91,032","266,113","193,099","73,014","500,401","315,314","6,757","178,330","768,365","335,108","433,257","228,229","42,330","185,899","152,575","196,658"
Hawaii,"492,733","7,735","7,695",40,"38,356","15,552","12,748","53,526","32,818","27,063","5,755","6,434","31,541","17,560","13,981","53,449","27,635","1,414","24,400","104,276","37,582","66,694","71,608","8,373","63,235","18,915","45,775"
Idaho,"565,488","28,853","25,843","3,010","57,487","71,038","17,491","63,370","28,806","21,402","7,404","9,098","34,015","24,488","9,527","52,634","35,063",185,"17,386","112,947","42,590","70,357","34,429","6,445","27,984","21,366","33,954"
Illinois,"4,557,700","47,821","37,728","10,093","257,593","657,004","156,500","388,278","341,067","297,732","43,335","75,435","382,865","303,799","79,066","595,687","399,755","13,701","182,231","993,505","376,353","617,152","272,311","58,695","213,616","189,871","199,763"
Indiana,"2,322,737","34,056","28,218","5,838","152,224","531,568","68,956","212,275","153,122","126,889","26,233","31,864","140,469","107,204","33,265","194,869","111,149","1,513","82,207","493,040","177,037","316,003","121,209","25,142","96,067","89,504","99,581"
Iowa,"1,156,147","48,122","46,023","2,099","85,133","214,651","36,714","103,712","65,725","51,897","13,828","16,286","104,365","92,957","11,408","91,875","56,101","2,241","33,533","257,796","100,508","157,288","48,587","11,906","36,681","40,067","43,114"
Kansas,"1,047,970","35,139","27,398","7,741","74,969","162,613","31,206","91,334","58,885","47,307","11,578","20,452","72,715","58,439","14,276","106,985","71,850","1,776","33,359","244,740","95,068","149,672","51,950","10,394","41,556","39,698","57,284"
Kentucky,"1,433,325","31,483","22,069","9,414","92,582","251,152","43,797","140,414","98,675","77,258","21,417","17,001","88,684","69,723","18,961","118,848","69,667","1,629","47,552","350,081","134,379","215,702","78,189","13,753","64,436","51,560","70,859"
Louisiana,"1,480,842","60,373","16,386","43,987","131,872","131,575","44,610","142,885","92,104","72,331","19,773","22,162","84,280","55,531","28,749","137,021","83,610","2,016","51,395","364,954","140,396","224,558","116,067","30,730","85,337","60,796","92,143"
Maine,"465,269","11,791","11,344",447,"38,081","50,300","11,823","50,702","20,311","16,708","3,603","8,592","33,025","27,017","6,008","45,447","33,188",209,"12,050","128,017","45,442","82,575","24,489","5,755","18,734","15,470","27,221"
Maryland,"2,287,066","12,277","10,887","1,390","190,306","113,702","46,041","166,464","113,736","97,623","16,113","38,020","148,526","101,422","47,104","394,031","293,157","2,707","98,167","505,432","206,344","299,088","131,803","30,278","101,525","116,828","309,900"
Massachusetts,"2,554,474","9,773","8,440","1,333","168,280","279,706","63,948","208,113","117,510","92,254","25,256","65,855","217,587","174,385","43,202","410,366","315,961","4,960","89,445","649,874","274,178","375,696","150,650","35,446","115,204","92,258","120,554"
Michigan,"3,257,570","40,304","35,530","4,774","197,483","764,963","96,229","283,291","157,749","125,954","31,795","37,348","204,939","155,735","49,204","321,380","204,374","6,403","110,603","698,726","230,381","468,345","194,708","43,420","151,288","129,541","130,909"
Minnesota,"2,079,499","46,920","41,848","5,072","137,510","353,978","72,437","182,317","106,711","90,385","16,326","33,378","179,613","150,695","28,918","228,355","159,450","5,534","63,371","466,716","156,939","309,777","99,696","28,217","71,479","80,394","91,474"
Mississippi,"919,195","20,076","13,997","6,079","64,276","146,940","27,524","87,615","70,476","56,422","14,054","8,985","47,536","35,887","11,649","56,185","27,682",675,"27,828","238,227","91,502","146,725","58,798","17,072","41,726","39,886","52,671"
Missouri,"2,140,805","36,650","31,821","4,829","149,623","283,488","69,770","203,421","136,797","113,138","23,659","40,303","178,142","142,630","35,512","214,346","138,402","6,433","69,511","498,517","178,750","319,767","129,754","30,461","99,293","85,866","114,128"
Montana,"343,893","22,662","16,319","6,343","27,983","20,026","9,702","43,112","18,294","13,596","4,698","5,985","21,273","16,097","5,176","30,652","20,500",79,"10,073","77,812","26,254","51,558","25,460","7,216","18,244","14,662","26,270"
Nebraska,"740,146","36,895","35,599","1,296","60,631","90,510","21,300","61,944","45,314","35,836","9,478","13,771","67,661","58,342","9,319","66,469","44,016","1,267","21,186","173,395","64,352","109,043","33,353","9,246","24,107","32,346","36,557"
Nevada,"1,079,686","17,452","3,501","13,951","89,623","65,210","23,828","107,681","72,953","64,214","8,739","17,190","60,122","35,258","24,864","121,919","62,350","1,173","58,396","168,807","63,122","105,685","235,552","89,934","145,618","47,734","51,615"
New Hampshire,"516,934","3,597","3,541",56,"40,788","87,719","15,511","53,180","23,520","18,365","5,155","12,529","34,378","27,040","7,338","62,090","43,428",776,"17,886","111,817","41,786","70,031","31,315","7,157","24,158","19,250","21,240"
New Jersey,"3,282,891","12,382","10,897","1,485","219,414","318,127","122,129","283,845","236,331","205,317","31,014","85,434","327,472","265,605","61,867","480,560","342,095","7,203","131,262","723,438","277,410","446,028","186,949","50,689","136,260","120,843","165,967"
New Mexico,"639,530","33,345","12,112","21,233","50,534","30,510","11,887","61,789","31,478","24,133","7,345","8,361","33,370","23,247","10,123","73,885","51,443",643,"21,799","163,923","64,103","99,820","48,359","11,636","36,723","33,133","58,956"
New York,"6,894,846","42,084","36,602","5,482","448,497","475,098","183,725","538,982","429,040","374,835","54,205","214,207","639,644","475,900","163,744","894,072","641,693","12,046","240,333","1,875,890","698,544","1,177,346","486,183","134,657","351,526","274,403","393,021"
North Carolina,"3,529,207","38,397","32,243","6,154","293,796","505,663","104,587","325,959","196,001","153,230","42,771","63,097","264,230","199,653","64,577","408,652","263,957","4,976","139,719","782,522","285,075","497,447","234,689","46,348","188,341","138,148","173,466"
North Dakota,"281,081","29,654","17,547","12,107","23,679","22,180","12,741","25,746","15,523","10,119","5,404","3,219","17,393","13,773","3,620","19,696","12,797",369,"6,530","69,299","22,794","46,505","13,337","2,780","10,557","11,465","17,149"
Ohio,"4,025,291","39,279","27,888","11,391","252,774","759,965","123,044","391,827","233,812","194,231","39,581","60,625","296,391","237,398","58,993","388,872","247,611","8,378","132,883","928,977","305,452","623,525","213,437","41,377","172,060","143,385","192,903"
Oklahoma,"1,335,771","68,663","21,266","47,397","96,594","150,416","38,752","132,469","85,257","64,795","20,462","18,196","75,599","55,604","19,995","115,700","71,534","2,487","41,679","302,592","118,990","183,602","93,357","28,220","65,137","59,201","98,975"
Oregon,"1,372,914","40,941","39,684","1,257","96,095","194,208","43,805","140,395","69,554","55,441","14,113","24,509","83,367","57,419","25,948","156,355","103,950","2,774","49,631","300,032","102,362","197,670","91,117","21,150","69,967","53,374","79,162"
Pennsylvania,"4,509,254","61,481","40,443","21,038","297,052","637,017","138,765","398,483","283,779","233,502","50,277","75,281","341,253","273,570","67,683","505,154","340,142","7,645","157,367","1,148,166","382,271","765,895","227,442","54,500","172,942","181,523","213,858"
Rhode Island,"384,550","1,321",985,336,"23,380","52,551","12,091","37,795","16,571","14,375","2,196","6,458","29,835","24,146","5,689","43,012","28,610","1,081","13,321","101,805","38,705","63,100","24,728","6,708","18,020","14,054","20,949"
South Carolina,"1,731,762","17,469","15,634","1,835","134,921","283,248","44,675","165,601","102,418","77,533","24,885","24,146","111,048","78,789","32,259","175,616","99,915","1,747","73,954","376,472","155,711","220,761","134,929","19,802","115,127","70,699","90,520"
South Dakota,"325,994","23,350","21,984","1,366","20,532","40,936","11,416","31,163","17,480","13,013","4,467","5,452","27,548","23,788","3,760","21,265","13,522",700,"7,043","75,532","25,249","50,283","21,357","4,761","16,596","13,023","16,940"
Tennessee,"2,357,199","21,431","17,345","4,086","175,390","372,044","71,989","222,822","170,891","144,082","26,809","36,153","156,968","115,503","41,465","244,970","135,508","6,675","102,787","510,128","178,139","331,989","161,220","30,544","130,676","94,476","118,717"
Texas,"10,351,778","339,772","73,030","266,742","1,007,749","1,033,135","332,738","998,841","682,844","579,806","103,038","165,323","777,802","553,928","223,874","1,240,189","799,305","18,969","421,915","2,147,917","939,223","1,208,694","670,875","107,986","562,889","471,786","482,807"
Utah,"1,072,459","20,864","8,170","12,694","100,246","131,297","29,615","105,248","63,225","54,749","8,476","18,970","92,020","71,339","20,681","143,954","94,694","1,383","47,877","200,470","84,993","115,477","58,574","14,871","43,703","44,367","63,609"
Vermont,"222,453","5,540","5,064",476,"18,243","29,119","4,989","22,022","7,606","6,385","1,221","3,883","11,982","8,630","3,352","21,319","15,054",102,"6,163","60,834","26,301","34,533","16,463","4,698","11,765","7,038","13,415"
Virginia,"3,100,864","26,492","21,048","5,444","227,596","265,963","57,905","259,293","152,670","124,862","27,808","58,657","225,014","165,343","59,671","520,785","400,984","4,196","115,605","653,272","274,368","378,904","185,929","35,584","150,345","143,035","324,253"
Washington,"2,620,161","63,454","60,753","2,701","204,321","306,202","86,793","273,070","150,767","122,734","28,033","65,182","151,281","92,426","58,855","389,472","285,457","5,515","98,500","506,653","180,806","325,847","158,518","44,230","114,288","101,569","162,879"
