GEO_ID,GeographicAreaName, Total
0400000US01,Alabama,5024279
0400000US02,Alaska,733391
0400000US04,Arizona,7151502
0400000US05,Arkansas,3011524
0400000US06,California,39538223
0400000US08,Colorado,5773714
0400000US09,Connecticut,3605944
0400000US10,Delaware,989948
0400000US11,District of Columbia,689545
0400000US12,Florida,21538187
0400000US13,Georgia,10711908
0400000US15,Hawaii,1455271
0400000US16,Idaho,1839106
0400000US17,Illinois,12812508
0400000US18,Indiana,6785528
0400000US19,Iowa,3190369
0400000US20,Kansas,2937880
0400000US21,Kentucky,4505836
0400000US22,Louisiana,4657757
0400000US23,Maine,1362359
0400000US24,Maryland,6177224
0400000US25,Massachusetts,7029917
0400000US26,Michigan,10077331
0400000US27,Minnesota,5706494
0400000US28,Mississippi,2961279
0400000US29,Missouri,6154913
0400000US30,Montana,1084225
0400000US31,Nebraska,1961504
0400000US32,Nevada,3104614
0400000US33,New Hampshire,1377529
0400000US34,New Jersey,9288994
0400000US35,New Mexico,2117522
0400000US36,New York,20201249
0400000US37,North Carolina,10439388
0400000US38,North Dakota,779094
0400000US39,Ohio,11799448
0400000US40,Oklahoma,3959353
0400000US41,Oregon,4237256
0400000US42,Pennsylvania,13002700
0400000US44,Rhode Island,1097379
0400000US45,South Carolina,5118425
0400000US46,South Dakota,886667
0400000US47,Tennessee,6910840
0400000US48,Texas,29145505
0400000US49,Utah,3271616
0400000US50,Vermont,643077
0400000US51,Virginia,8631393
0400000US53,Washington,7705281
0400000US54,West Virginia,1793716
0400000US55,Wisconsin,5893718
0400000US56,Wyoming,576851
0400000US72,Puerto Rico,3285874
0100000US,United States,331449281
1600000US0100100,"Abanda, AL",133
1600000US0100124,"Abbeville, AL",2358
1600000US0100460,"Adamsville, AL",4366
1600000US0100484,"Addison town, AL",659
1600000US0100676,"Akron town, AL",225
1600000US0100820,"Alabaster, AL",33284
1600000US0100988,"Albertville, AL",22386
1600000US0101132,"Alexander , AL",14843
1600000US0101180,"Alexandria, AL",4032
1600000US0101228,"Aliceville, AL",2177
1600000US0101396,"Allgood town, AL",548
1600000US0101660,"Altoona town, AL",948
1600000US0101708,"Andalusia, AL",8805
1600000US0101756,"Anderson town, AL",254
1600000US0101852,"Anniston, AL",21564
1600000US0102116,"Arab, AL",8461
1600000US0102260,"Ardmore town, AL",1321
1600000US0102320,"Argo town, AL",4368
1600000US0102428,"Ariton town, AL",662
1600000US0102500,"Arley town, AL",330
1600000US0102836,"Ashford town, AL",2246
1600000US0102860,"Ashland town, AL",1984
1600000US0102908,"Ashville, AL",2346
1600000US0102956,"Athens, AL",25406
1600000US0103004,"Atmore, AL",8391
1600000US0103028,"Attalla, AL",5827
1600000US0103076,"Auburn, AL",76143
1600000US0103220,"Autaugaville town, AL",795
1600000US0103364,"Avon town, AL",465
1600000US0103508,"Axis, AL",561
1600000US0103556,"Babbie town, AL",625
1600000US0103676,"Baileyton town, AL",649
1600000US0103724,"Bakerhill town, AL",211
1600000US0103820,"Ballplay, AL",1437
1600000US0103940,"Banks town, AL",156
1600000US0104660,"Bay Minette, AL",8107
1600000US0104684,"Bayou La Batre, AL",2204
1600000US0104852,"Bear Creek town, AL",1047
1600000US0104900,"Beatrice town, AL",204
1600000US0104948,"Beaverton town, AL",187
1600000US0105140,"Belgreen, AL",170
1600000US0105164,"Belk town, AL",186
1600000US0105188,"Bellamy, AL",363
1600000US0105212,"Belle Fontaine, AL",613
1600000US0105692,"Benton town, AL",41
1600000US0105812,"Berlin town, AL",476
1600000US0105932,"Berry town, AL",1216
1600000US0105980,"Bessemer, AL",26019
1600000US0106460,"Billingsley town, AL",125
1600000US0107000,"Birmingham, AL",200733
1600000US0107120,"Black town, AL",221
1600000US0107456,"Blountsville town, AL",1826
1600000US0107588,"Blue Ridge, AL",1485
1600000US0107672,"Blue Springs town, AL",84
1600000US0107912,"Boaz, AL",10107
1600000US0108104,"Boligee town, AL",301
1600000US0108248,"Bon Air town, AL",172
1600000US0108272,"Bon Secour, AL",1754
1600000US0108680,"Boykin, AL",208
1600000US0109016,"Brantley town, AL",825
1600000US0109064,"Brantleyville, AL",931
1600000US0109136,"Brent, AL",2972
1600000US0109208,"Brewton, AL",5276
1600000US0109328,"Bridgeport, AL",2264
1600000US0109400,"Brighton, AL",2337
1600000US0109424,"Brilliant town, AL",845
1600000US0109457,"Bristow Cove, AL",624
1600000US0109500,"Brook Highland, AL",7406
1600000US0109736,"Brookside town, AL",1253
1600000US0109808,"Brookwood town, AL",2504
1600000US0109880,"Broomtown, AL",160
1600000US0110240,"Brundidge, AL",2073
1600000US0110456,"Bucks, AL",22
1600000US0111032,"Butler town, AL",1871
1600000US0111416,"Calera, AL",16494
1600000US0111488,"Calvert, AL",255
1600000US0111512,"Camden, AL",1927
1600000US0111680,"Camp Hill town, AL",1006
1600000US0112016,"Carbon Hill, AL",1769
1600000US0112040,"Cardiff town, AL",52
1600000US0112070,"Carlisle-Rockledge, AL",2167
1600000US0112112,"Carlton, AL",46
1600000US0112160,"Carolina town, AL",286
1600000US0112304,"Carrollton town, AL",1023
1600000US0112496,"Castleberry town, AL",486
1600000US0112544,"Catherine, AL",65
1600000US0112760,"Cedar Bluff town, AL",1845
1600000US0113264,"Center Point, AL",16406
1600000US0113648,"Centre, AL",3587
1600000US0113672,"Centreville, AL",2800
1600000US0114008,"Chatom town, AL",1104
1600000US0114104,"Chelsea, AL",14982
1600000US0114152,"Cherokee town, AL",970
1600000US0114392,"Chickasaw, AL",6457
1600000US0114464,"Childersburg, AL",4754
1600000US0114728,"Choccolocco, AL",2838
1600000US0114968,"Chunchula, AL",195
1600000US0115064,"Citronelle, AL",3946
1600000US0115136,"Clanton, AL",8768
1600000US0115256,"Clay, AL",10291
1600000US0115304,"Clayhatchee town, AL",466
1600000US0115376,"Clayton town, AL",2265
1600000US0115472,"Cleveland town, AL",1245
1600000US0115640,"Clio, AL",1220
1600000US0116000,"Coaling town, AL",2035
1600000US0116080,"Coats Bend, AL",1318
1600000US0116240,"Coffee Springs town, AL",206
1600000US0116264,"Coffeeville town, AL",263
1600000US0116312,"Coker town, AL",904
1600000US0116600,"Collinsville town, AL",2059
1600000US0116684,"Colony town, AL",264
1600000US0116744,"Columbia town, AL",690
1600000US0116768,"Columbiana, AL",4462
1600000US0116936,"Concord, AL",1690
1600000US0117176,"Coosada town, AL",1217
1600000US0117368,"Cordova, AL",1728
1600000US0117704,"Cottondale, AL",3130
1600000US0117824,"Cottonwood town, AL",1048
1600000US0117968,"County Line town, AL",311
1600000US0118040,"Courtland town, AL",583
1600000US0118088,"Cowarts town, AL",1930
1600000US0118304,"Creola, AL",1936
1600000US0118856,"Crossville town, AL",1830
1600000US0118952,"Cuba town, AL",306
1600000US0118976,"Cullman, AL",18213
1600000US0119024,"Cullomburg, AL",126
1600000US0119216,"Cusseta town, AL",152
1600000US0119336,"Dadeville, AL",3084
1600000US0119360,"Daleville, AL",4866
1600000US0119648,"Daphne, AL",27462
1600000US0119744,"Dauphin Island town, AL",1778
1600000US0119816,"Daviston town, AL",174
1600000US0119912,"Dayton town, AL",28
1600000US0120008,"Deatsville town, AL",1679
1600000US0120104,"Decatur, AL",57938
1600000US0120152,"Deer Park, AL",141
1600000US0120272,"Delta, AL",260
1600000US0120296,"Demopolis, AL",7162
1600000US0120392,"Detroit town, AL",230
1600000US0120955,"Dodge  town, AL",548
1600000US0121136,"Dora, AL",2297
1600000US0121184,"Dothan, AL",71072
1600000US0121280,"Double Springs town, AL",1119
1600000US0121328,"Douglas town, AL",761
1600000US0121448,"Dozier town, AL",285
1600000US0121890,"Dunnavant, AL",936
1600000US0121952,"Dutton town, AL",330
1600000US0122088,"Eagle Point, AL",2903
1600000US0122216,"East Brewton, AL",2293
1600000US0122504,"East Point, AL",172
