RegionID,SizeRank,RegionName,RegionType,StateName,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021
102001,0,United States,Country,,271617,272983,279333,288667,295633,299267,299900,299600,299267,298633,297267,294267,291567,292933,297967,306497,314463,320963,322433,319800,315600,312267,307267,303267,299800,301467,306500,313000,320650,328450,335450,340463,342630,344130,342800,338500,333633,333963,340597,353963,367283,378283,381583,379933,376633,375000,374967,372967
394913,1,"New York, NY",Msa,NY,517967,523000,534333,544667,554667,560000,560000,554833,549833,549833,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579333,586000,594000,599000,602000,612300,628967,642892,649592,652926,657000,663633,668967,673567,675933,675933,669000,659667,646333,639667,636333,638000,642667
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667,802667,818000,835000,848300,849633,841300,824296,802296,785629,772667,761633,752967,749633,761300,778266,804600,824300,840333,847000,845667,845967,845967,848967,849333,865963,882963,887129,882500,892167,924333,955633,967600,972933,978300,989667,997600,999200,1007867,1008267,1008333,999666,992990,975657,952623,940967,936633,941667
394463,3,"Chicago, IL",Msa,IL,301497,305967,319467,336133,346133,348600,344933,338267,330967,324933,318300,309933,303267,306600,319633,336000,345833,348167,345067,338533,331533,324933,319633,311300,306333,309967,320800,328800,332167,336500,343467,348467,349967,349667,346000,339663,331663,331997,338300,346633,352967,354667,354633,348267,339933,332967,327300,322267
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341666,345000,351648,359745,366079,365931,359467,351100,344567,341233,339600,337967,335333,335633,340600,348267,354933,356300,354600,349600,344933,341633,339997,338330,335293,334512,336178,339182,343133,348133,354800,358267,359933,359267,356787,353454,350820,351813,356146,364480,374333,383333,390000,393333,395967,396630,398297,401330
394974,5,"Philadelphia, PA",Msa,PA,252630,249633,253833,260800,270133,275967,279300,278267,276039,274073,271101,265828,257828,254133,257967,267633,279000,287633,292967,293300,293333,293967,293967,290633,286333,286300,289633,294633,301333,311333,323333,333000,336300,337933,334933,331600,324933,321597,321630,326630,331633,336300,333000,329633,324963,324963,321663,313333
394692,6,"Houston, TX",Msa,TX,316462,318775,322112,326851,330434,331746,328635,323749,317555,314167,310910,309281,307816,309119,312376,317262,321138,322441,320780,317147,312910,310011,307809,305715,303435,302949,305695,308203,312601,317161,323122,327975,332413,336122,338109,336862,334700,333963,338942,346605,356635,365293,371552,372888,371255,370859,371192,371189
395209,7,"Washington, DC",Msa,DC,431330,431000,441367,452667,464667,474667,479667,476333,466665,461632,456598,449900,443233,443267,454967,471667,488167,496167,495900,489367,484700,483467,485167,483467,481633,486600,501600,513233,522933,531300,544408,551375,548625,540547,530580,522997,516000,513997,512630,518630,523933,528967,527467,522500,519166,518330,518330,514997
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,389841,389841,391157,392637,394249,394578,394709,394413,394085,393789,393131,391815,390499,389841,391157,392473,394117,394446,397736,399381,399381,396421,396421,398065,398065,396536,397523,397194,396749,393789,394118,397078,400039,403296,402309,401322,399807,399870,401800,410133,425167,441667,456633,466633,474933,481633,488300,495000
394347,9,"Atlanta, GA",Msa,GA,309981,314933,323600,335300,344667,349633,344933,337933,329633,324833,320742,317375,313842,313267,316966,326666,338000,344333,344617,339917,334883,330300,327000,325000,323596,323596,325630,327167,330500,336735,344568,351235,354667,356333,354667,351633,349933,351567,358663,375030,390063,402283,405616,405616,403000,399967,399933,399767
394404,10,"Boston, MA",Msa,MA,541333,544667,565333,585000,598500,596133,579767,556600,539633,536000,535967,531300,528267,533300,549967,571666,589666,596333,594633,586633,579933,574967,574967,574453,574453,582453,597667,605967,614600,624600,641300,649633,649933,656600,662967,666000,665967,672933,684933,694300,697633,698967,692933,677933,668233,667933,674600,681267
395057,11,"San Francisco, CA",Msa,CA,807333,824000,857667,899667,924667,937933,921267,880600,850667,842333,838000,820000,799600,802933,830933,867333,900667,907629,904629,885963,885667,889000,895667,879000,862633,874633,899967,916333,924667,949000,982333,998333,998667,998901,999197,995864,991963,988667,988667,992000,994000,996000,980000,959858,936525,926525,914667,901883
394532,12,"Detroit, MI",Msa,MI,219933,218263,224630,237997,253000,263000,264633,259600,251600,244633,237967,231267,226567,226567,233265,246598,259932,269900,271267,267633,258667,248967,239300,231633,225667,223967,228100,234067,245600,261100,277767,286233,283233,278100,271467,264838,259971,261604,270687,283720,293720,298967,294300,284333,268333,255000,241633,229967
395025,13,"Riverside, CA",Msa,CA,390296,392963,396296,402667,406633,409967,409933,406633,403300,399966,399633,398633,398333,398663,402996,408329,415000,419967,423300,423300,420000,416667,415000,414833,414860,418193,423027,426333,428000,434667,446333,461333,471667,480000,485000,490000,491667,493333,494983,506650,520283,533633,541633,546300,549600,549933,549967,550000
394976,14,"Phoenix, AZ",Msa,AZ,339143,344921,353111,358515,361574,360180,356816,351716,348317,346278,345940,345940,347945,350664,354097,358549,362933,366332,366977,368027,369727,371460,373839,377204,383321,390088,396639,392187,387123,385983,396179,404675,407794,407826,407656,407656,408382,409276,415000,424967,438300,449967,459997,466995,471992,475295,479930,483267
395078,15,"Seattle, WA",Msa,WA,508316,528316,559983,584967,598300,599633,592817,581167,568150,564650,561983,561983,563983,578300,601633,626633,642483,644167,635833,624167,617165,615492,617658,621323,631313,647980,663617,663300,660283,659650,668300,669983,663317,651667,640000,636500,639833,654500,667983,684633,694967,701650,701650,694983,693317,690850,689183,682515
394865,16,"Minneapolis-St Paul, MN",Msa,MN,354454,371733,387316,392961,391229,383356,374699,367461,359787,355978,351095,351060,356566,368721,384304,392961,394692,387801,382506,373849,368620,361826,361445,361480,368409,379144,389512,392974,392974,392960,394657,392926,386035,377413,368790,368755,370825,378965,387002,391968,392290,387960,384627,379267,374233,369267,367550,369250
395056,17,"San Diego, CA",Msa,CA,704633,721300,735967,749333,749633,749633,742633,725967,706267,689933,681633,676667,676333,681329,692996,713296,732967,745967,747333,747333,747333,745667,742666,742666,746000,755967,769967,770300,770000,781333,814666,838300,836633,825672,812333,810666,813294,830000,841667,856333,856333,856000,849333,847667,846000,846000,847667,849667
395121,18,"St. Louis, MO",Msa,MO,197147,197595,203070,211713,220322,225488,226994,226684,226375,224868,221769,216913,213125,214813,223422,235474,245805,251005,251955,250234,248477,246115,242671,237540,235853,239297,245495,250936,257476,263640,268495,267982,266260,263867,260974,255499,251533,252120,257807,265000,265000,261667,254567,248200,241700,235133,230167,226967
395148,19,"Tampa, FL",Msa,FL,264551,264551,266218,269518,274451,277718,277686,274713,271445,268211,266250,263963,263310,263310,266577,272131,280123,285351,286952,285527,284188,283890,282257,280329,277715,277683,278826,278503,280136,283894,290428,296992,301356,305836,305451,303040,300541,299644,304997,314997,331630,346467,359767,368133,373300,378333,385000,393000
394358,20,"Baltimore, MD",Msa,MD,303233,299900,304933,313300,326633,337967,345967,345967,341467,335130,328497,319997,313333,311667,316667,327699,339366,347699,350000,349967,346600,341600,334633,327967,322933,323233,329933,339443,347810,356143,363300,364967,361633,355000,348300,341300,334300,334333,339666,348300,356933,360267,361933,356630,352963,342997,334633,323300
394530,21,"Denver, CO",Msa,CO,,,,,,,,,494667,487667,481000,477833,482333,493967,509133,519967,524967,523453,518453,510120,502967,497967,497967,501300,512376,529043,542709,545633,542333,542815,549148,552482,546938,534938,524938,525000,531667,543610,556910,575077,591467,605167,613333,616833,618167,620167,624967,634633
394982,22,"Pittsburgh, PA",Msa,PA,171567,169900,173233,177267,183133,184833,184133,181600,179900,178267,175933,172633,170933,170933,175267,181933,189300,194800,198133,199467,198867,195533,190867,184967,183300,185800,192433,197433,204900,214900,227600,233967,234000,232967,231600,229933,228267,229967,234698,241381,246348,246583,238900,228933,222267,218300,213300,206633
394998,23,"Portland, OR",Msa,OR,459002,465399,471797,478163,479762,479762,476563,470134,462137,455739,452540,450941,452540,455739,462137,466967,470198,470230,468598,465384,460585,456939,453756,453756,456315,464312,470710,470214,470214,471813,482924,487483,492249,494125,502359,511955,520440,525772,534767,551433,573300,588333,592900,586233,579567,572667,570667,570317
394458,24,"Charlotte, NC",Msa,NC,338133,338167,343000,349666,356266,358600,355583,349028,342028,335378,330983,327283,325617,328300,335000,343333,351633,356300,356300,352333,346967,344300,341633,342166,342903,346237,351070,352967,357592,362925,374125,379540,381540,378707,377000,375000,374967,376633,383207,394907,407907,414967,414967,408853,406053,408213,411323,408837
395045,25,"Sacramento, CA",Msa,CA,462983,468667,477000,485967,491967,492300,487000,480333,472967,466300,459633,456333,458333,466333,481000,492665,504665,513332,521633,522967,517963,509663,503326,504996,511330,521000,527667,528000,528000,529543,539270,547936,559723,568330,579663,586333,594333,596333,593000,601667,611667,625000,625000,619967,614967,613300,616333,624667
395055,26,"San Antonio, TX",Msa,TX,279966,280000,283000,288500,294833,298167,297667,293500,288467,283467,281444,280811,280811,280633,281633,284967,290000,293167,293133,289800,286600,283297,281297,278996,278633,278966,282633,286167,290167,293800,297300,299933,299633,297967,294633,290933,288567,289267,293067,298765,303762,312328,327163,341163,347830,346080,342917,343355
394943,27,"Orlando, FL",Msa,FL,299900,302933,309300,317667,323000,325000,324967,323267,319933,314933,308300,303267,299933,299933,303467,310167,318500,323333,325000,325000,325627,325627,325627,325000,324967,326600,328410,325440,322140,320533,325203,328537,330867,332501,332501,331630,328330,326663,328333,335000,343333,354967,366153,377487,383853,390667,394333,397667
394466,28,"Cincinnati, OH",Msa,OH,218300,219967,231600,248267,261600,267633,265967,259300,251633,244967,241333,236300,232967,236633,249967,266300,279467,285833,287833,284333,278567,271900,265567,261333,261300,269633,283267,296300,309633,322967,333300,334633,327688,319354,309688,305833,305800,314100,323930,337297,350130,354433,349067,336233,324600,316633,310300,306967
394475,29,"Cleveland, OH",Msa,OH,161567,161567,164900,171267,176267,181300,183300,183300,181600,179900,178267,176600,174933,176567,179932,185402,191936,196904,199467,196267,192933,188267,184933,181600,179900,180233,185267,191633,201300,209600,218267,221133,214467,206100,196567,191600,188300,194958,208592,225225,233600,233300,226333,214667,206000,196300,192933,187100
394735,30,"Kansas City, MO",Msa,MO,254933,259967,269633,274633,277518,276185,275352,272467,272800,280300,286967,293300,296600,306633,319950,331317,337950,336297,329962,319962,312965,307967,304667,301667,306333,316333,332667,342667,352667,359633,364933,361600,353300,343983,338983,335633,336617,346950,361950,377950,383683,380033,367400,353000,345000,344967,348300,356600
394775,31,"Las Vegas, NV",Msa,NV,290435,292135,295135,306300,324500,341500,349500,347967,341300,333297,324963,321597,318233,314933,312300,312833,316167,320498,323332,324332,322633,320933,319933,319967,321558,325892,334225,335667,333300,329933,334900,341267,344633,346333,346963,346963,345629,345000,353333,371296,396296,416296,426667,435000,444322,456988,466988,477667
394492,32,"Columbus, OH",Msa,OH,254267,268633,285300,302630,311630,316997,315300,306967,294933,283267,274867,268233,264900,269967,286800,306800,320133,325933,325967,320633,309666,295966,286266,280600,282600,292267,306233,316233,326567,336567,344933,341600,329967,321300,317967,318967,317633,320967,329116,339738,343102,338919,332963,327767,319467,312463,312463,319963
394705,33,"Indianapolis, IN",Msa,IN,210500,215331,227298,251631,272508,284175,279175,269633,259633,249600,239900,232933,229633,234667,248300,266633,281600,286600,284900,279896,274929,269929,264633,257967,256330,261163,272830,282800,291600,302233,310600,315600,309630,299597,286963,278600,275267,277900,284233,292263,295637,296568,293538,293532,293300,293333,293333,294998
395059,34,"San Jose, CA",Msa,CA,1071296,1104629,1154629,1208333,1245000,1261333,1244333,1199328,1149662,1116262,1082896,1048896,1015592,1031963,1065963,1113000,1139333,1156000,1143448,1117377,1100710,1099595,1096333,1071626,1071293,1106622,1164662,1191662,1192667,1209333,1239000,1256000,1255983,1248550,1248550,1231567,1216296,1216296,1233629,1250333,1266967,1283298,1295965,1279332,1263000,1250324,1233287,1199620
394355,35,"Austin, TX",Msa,TX,373635,375550,380031,384897,386367,386399,383178,376891,370443,365607,362367,357853,354948,356577,363798,373161,379606,377221,368818,359472,353020,349484,347517,344296,344619,348810,359681,367500,375914,385999,397848,407842,414344,419760,424019,424887,425694,432801,448297,471663,488330,501667,511667,518333,524015,526015,529715,532367
395194,36,"Virginia Beach, VA",Msa,VA,257776,257454,260322,264783,270222,273779,276109,276141,275836,273550,271909,270139,270976,273904,278893,284494,288002,289579,289579,289579,289289,289000,289000,289289,289579,289608,292803,296858,303266,308472,314073,317291,316937,315939,312423,307817,302467,299767,301467,306300,309663,309663,304997,301633,299967,299966,299999,299999
394902,37,"Nashville, TN",Msa,TN,373229,374563,376896,379600,379633,377966,374300,367933,362967,359747,358080,356380,354933,354933,356600,359930,364630,367963,367592,364558,361225,359600,357870,355900,352900,352997,354967,358297,363130,368163,374800,378267,381567,382233,381933,380267,381567,390233,400597,413663,425768,440072,451734,454629,453329,456333,462967,468800
395005,38,"Providence, RI",Msa,RI,345871,347654,353073,359925,365170,366883,367058,367058,367058,365274,361429,356220,354471,357968,366358,376532,383839,387650,387964,387964,387650,385937,382440,375763,370519,373700,384189,394642,401949,408941,419429,424709,421247,410759,400271,396425,396607,407136,407967,411633,411333,424667,436300,441600,438233,436267,432300,430667
394862,39,"Milwaukee, WI",Msa,WI,216267,217933,226267,238200,249567,256233,257967,254933,248300,242967,236300,232633,231267,234300,237933,237967,237467,237500,239133,239933,236567,231600,226467,221500,219800,221600,231567,241567,251567,256600,259967,256633,249967,242633,236000,230967,224933,221600,223133,228133,236300,236433,229800,218300,211667,207633,204267,200600
394714,40,"Jacksonville, FL",Msa,FL,300967,304933,309967,314633,316580,316547,313214,307966,302666,298000,296167,296000,296000,297500,299667,304667,311667,314167,311078,304408,299908,299630,299300,298630,298647,301977,306313,307327,309330,312330,317967,319300,317967,314997,310297,308427,308427,312427,318293,327960,338993,346663,350000,351663,355327,360327,363663,366333
394849,41,"Memphis, TN",Msa,TN,187115,182356,181084,183976,187163,194472,199557,205215,207121,208679,208933,206073,202926,200829,203689,208456,215798,220883,224061,224029,223650,223618,223650,224029,222472,222440,225618,230386,236043,241446,247802,251679,247865,243413,241824,241792,241923,237656,238400,241800,249800,252967,254633,254933,258167,261533,263200,259967
