RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
102001,0,United States,Country,,269900,278000,289000,298000,299900,299900,299700,299000,297400,295000,290000,289665,289900,297400,304900,315000,322900,324000,319900,315000,310000,308800,299995,299000,299000,300000,315000,319000,329000,339000,340000,340000,340000,339900,335000,329900,327790,337500,350000,367900,376990,379900,379000,375000,375000,375000,373900,369000
394913,1,"New York, NY",Msa,NY,499999,525000,539000,549000,549999,550000,549500,549000,549000,549000,540000,535000,529999,546300,550000,565000,570000,574000,569000,560000,568000,569000,566000,568120,565000,575000,591700,589900,595000,599990,625000,639000,640000,649000,649000,649999,658000,668000,675000,675000,675000,655000,649000,639999,639000,635000,639000,649000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,850000,874900,899000,915000,908962,899000,879900,849888,839000,829000,819000,799900,799000,820000,850000,888000,899900,923359,920000,919990,908000,925000,925000,934000,939500,975000,990000,930000,950000,999900,1098000,1120000,1099000,1099000,1129000,1155000,1155000,1175000,1178500,1150000,1140800,1100000,1045000,985000,975000,988888,989000,995000
394463,3,"Chicago, IL",Msa,IL,304900,329000,349900,359800,360000,358000,349900,339900,335000,329000,320000,310000,311900,329900,349000,358900,359900,355000,349900,339990,335010,329000,320000,315000,315000,330500,347500,345000,349900,360000,369900,374900,373500,364000,354110,349900,339900,349900,350000,354990,360000,359000,350000,343000,335000,329990,325000,319700
394514,4,"Dallas-Fort Worth, TX",Msa,TX,345263,352794,360000,369900,369900,359900,349990,344900,339999,339900,339000,335000,334000,339900,349900,359000,360000,357400,349900,345000,344900,344795,341178,338990,334900,339000,344000,340000,349997,359900,364000,364900,365000,360000,359000,357197,357000,364900,374000,385000,399000,399900,400000,407265,411990,412041,421000,426950
394974,5,"Philadelphia, PA",Msa,PA,249000,250000,264900,270000,279900,285000,280000,275000,274900,274900,269000,259000,250000,255000,269500,279500,289900,295000,295000,292000,295000,295000,290000,285000,282080,289900,295000,299000,311900,325000,335000,339000,334999,343010,335000,325000,324900,325000,330000,347890,348000,349000,335000,329900,330000,334900,329900,325000
394692,6,"Houston, TX",Msa,TX,316346,322187,329974,331406,335814,331823,325593,320143,316346,311479,310506,309533,309533,311479,320240,326080,327818,321213,316346,311479,310993,311382,306613,301746,301746,306613,311479,311479,321116,329876,330947,336807,340681,341482,341440,339000,337990,340990,350900,363990,375000,380990,379900,378115,376990,377990,376990,375990
395209,7,"Washington, DC",Msa,DC,439000,449900,469900,470000,489000,499990,495000,479000,474899,469900,459900,449900,449900,465000,489900,499900,499999,499900,492500,485000,489900,490000,489000,479990,484900,499999,525000,520000,535000,559990,561990,559994,550000,549900,534999,529000,520950,525000,530000,549000,549900,549900,539900,529888,530000,529999,530000,535000
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,460000,465000,475000,480000,479900,479000,470000,460000,450000,449500,445000,445000,444000,445000,449999,454900,460000,464000,465000,464888,459900,459000,459000,459900,459900,465000,471990,459000,464900,480000,499500,519000,524900,525000,515000,515000,525000,535000,549900,569000,579900,570000,565000,559000,575000,579900,577000,589995
394347,9,"Atlanta, GA",Msa,GA,317000,325000,339900,350000,355025,350000,339900,334645,329700,325000,321530,319000,315000,319900,330000,345000,350000,349900,344900,339900,335000,330000,329940,327500,325000,329700,336541,330280,340000,350000,360000,367500,369900,365490,365000,360000,359000,366554,382900,409000,413000,417000,415000,413900,413000,409900,406000,400000
